Lat,Lng, T_201406061800
32.0,-89.6,89.83033898305092
30.8,-89.6,89.49875000000006
30.4,-89.6,86.65869565217383
30.0,-89.6,82.26781249999998
29.6,-89.6,82.46784615384615
29.2,-89.6,81.70999999999991
28.4,-89.6,79.20278688524594
28.8,-89.6,80.07956521739129
45.2,-72.4,63.725
28.0,-89.6,79.07000000000005
44.8,-72.4,61.694193548387126
44.4,-72.4,62.69285714285711
44.0,-72.4,64.1358064516129
43.6,-72.4,66.19285714285714
43.2,-72.4,67.68868852459015
42.4,-72.4,71.24999999999997
42.8,-72.4,70.59338461538455
41.2,-72.4,68.59062499999999
41.6,-72.4,74.38142857142861
42.0,-72.4,72.39875
40.4,-72.4,61.68875000000003
40.8,-72.4,64.76290322580644
49.2,-122.8,61.78999999999999
48.8,-122.8,58.79491803278688
48.4,-122.8,58.130983606557365
48.0,-122.8,60.14387096774193
47.6,-122.8,59.956999999999965
47.2,-122.8,58.89000000000001
46.8,-122.8,60.11393442622946
46.4,-122.8,62.73131147540983
46.0,-122.8,67.9535483870968
45.6,-122.8,69.68639344262294
45.2,-122.8,70.81322580645163
44.8,-122.8,68.21285714285715
44.4,-122.8,68.38213114754099
44.0,-122.8,70.14428571428569
43.6,-122.8,66.61163934426227
43.2,-122.8,63.94714285714285
42.4,-122.8,69.24714285714285
42.8,-122.8,69.52409836065569
41.2,-122.8,70.82999999999998
41.6,-122.8,72.25
42.0,-122.8,68.94714285714285
40.4,-122.8,82.72343750000002
40.8,-122.8,78.19571428571426
39.2,-122.8,83.46593750000001
39.6,-122.8,80.05857142857143
40.0,-122.8,77.38322580645158
38.4,-122.8,65.33093749999999
38.8,-122.8,78.42258064516126
37.2,-122.8,53.88714285714288
37.6,-122.8,53.01153846153845
38.0,-122.8,59.762187499999996
36.4,-122.8,55.30156249999997
36.8,-122.8,54.39312500000003
35.6,-122.8,56.718235294117655
36.0,-122.8,56.19338461538467
49.2,-105.6,55.985
48.8,-105.6,55.793000000000035
48.4,-105.6,56.13523076923076
48.0,-105.6,59.181578947368365
47.6,-105.6,57.19129032258064
47.2,-105.6,56.21000000000001
46.8,-105.6,55.44363636363636
46.4,-105.6,54.93421052631577
46.0,-105.6,54.27354838709675
45.6,-105.6,53.521428571428594
45.2,-105.6,53.33590163934423
44.8,-105.6,50.582786885245916
44.4,-105.6,53.521612903225794
43.2,-105.6,63.57819672131149
43.6,-105.6,59.59163934426228
44.0,-105.6,56.52142857142855
42.4,-105.6,63.5725806451613
42.8,-105.6,66.24569230769232
41.2,-105.6,66.4367692307692
41.6,-105.6,64.11548387096772
42.0,-105.6,66.31065573770495
40.4,-105.6,60.8871428571429
40.8,-105.6,65.31571428571428
39.2,-105.6,62.65625000000002
39.6,-105.6,59.49000000000002
40.0,-105.6,60.90107692307695
38.4,-105.6,71.04714285714286
38.8,-105.6,63.94718750000001
37.6,-105.6,73.81343749999996
37.2,-105.6,77.54999999999993
38.0,-105.6,66.99312499999999
